Accession,Title,Collection,Organism,Imaging Method,Keywords,Files,License,Publication Title,Publication DOI,Authors,Release Date,BIA Link
S-BIAD2248,Biomolecular condensates at the nuclear pore basket maintain global chromatin organization ,BioImage Archive,Mus musculus (mouse),array-scan confocal microscopy,"TPR, chromatin organization, nucleus, Nuclear Pore",25,CC0,,,Charlene Boumendil,2025-09-08,https://www.ebi.ac.uk/bioimage-archive/galleries/S-BIAD2248
S-BIAD2246,Biomolecular condensates at the nuclear pore basket maintain global chromatin organization ,BioImage Archive,Mus musculus (mouse),array-scan confocal microscopy,"TPR, chromatin organization, nucleus",2,CC0,,,Charlene Boumendil,2025-09-08,https://www.ebi.ac.uk/bioimage-archive/galleries/S-BIAD2246
S-BIAD2247,Biomolecular condensates at the nuclear pore basket maintain global chromatin organization ,BioImage Archive,Mus musculus (mouse),array-scan confocal microscopy,"TPR, chromatin organization, nucleus",93,CC0,,,Charlene Boumendil,2025-09-08,https://www.ebi.ac.uk/bioimage-archive/galleries/S-BIAD2247
S-BIAD2233,Biomolecular condensates at the nuclear pore basket maintain global chromatin organization ,BioImage Archive,Mus musculus (mouse),array-scan confocal microscopy,"TPR, nucleus, chromatin organization",127,CC0,,,Charlene Boumendil,2025-09-08,https://www.ebi.ac.uk/bioimage-archive/galleries/S-BIAD2233
S-BIAD2245,Biomolecular condensates at the nuclear pore basket maintain global chromatin organization ,BioImage Archive,Mus musculus (mouse),array-scan confocal microscopy,"TPR, nucleus, chromatin organization",184,CC0,,,Charlene Boumendil,2025-09-08,https://www.ebi.ac.uk/bioimage-archive/galleries/S-BIAD2245
S-BIAD2272,Differential regulation of mesoscale chromosome conformations in osteoblasts and osteosarcoma,BioImage Archive,Homo sapiens (human),fluorescence microscopy,Chromosome conformation,789,CC BY 4.0,Differential regulation of mesoscale chromosome conformations in osteoblasts and osteosarcoma,,"Madhoolika Bisht†, Yu-Chieh Chung†, Siou-Luan He, Sydney Willey, Benjamin D. Sunkel, Meng Wang, Benjamin Z. Stanton, Li-Chun Tu",2025-09-08,https://www.ebi.ac.uk/bioimage-archive/galleries/S-BIAD2272
S-BIAD2271,TEM Mitochondria Segmentation Dataset for Triple Negative Breast Cancer Chemotherapy Analysis,BioImage Archive,Homo sapiens (human),transmission electron microscopy (TEM),"breast cancer, electron microscopy, mitochondria",418,CC0,Artificial intelligence-enabled automated analysis of transmission electron micrographs to evaluate chemotherapy impact on mitochondrial morphology in triple negative breast cancer,10.1101/2025.02.19.635300," Argenis Arriojas, Lily M Baek, Mariah J Berner, Alexander Zhurkevich, Antentor Othrell Hinton, Matthew D Meyer, Lacey E Dobrolecki, Michael T Lewis, Kourosh Zarringhalam, Gloria V Echeverria",2025-09-08,https://www.ebi.ac.uk/bioimage-archive/galleries/S-BIAD2271
S-BIAD2232,Label-Free Whole Slide Virtual Multi-Staining Using Dual-Excitation Photon Absorption Remote Sensing Microscopy,BioImage Archive,Homo sapiens (human),Photon Absorption Remote Sensing,"Virtual staining, Label-free histology, Photon Absorption Remote Sensing (PARS) microscopy, UV imaging, Deep learning",30,CC BY 4.0,Label-Free Whole Slide Virtual Multi-Staining Using Dual-Excitation Photon Absorption Remote Sensing Microscopy,https://doi.org/10.48550/arXiv.2509.05085,"James E.D. Tweel, Benjamin R. Ecclestone, James A. Tummon Simmons, Parsin Haji Reza",2025-09-07,https://www.ebi.ac.uk/bioimage-archive/galleries/S-BIAD2232
S-BIAD2267,Proximity-labeling proteomics reveals remodeled interactomes and altered localization of pathogenic SHP2 variants,BioImage Archive,Homo sapiens (human),spinning disk confocal microscopy,"proximity-labeling proteomics, confocal microscopy, localization, SHP2, phosphotyrosine signaling",1028,CC BY 4.0,,,"Anne van Vlimmeren, Lauren C. Tang, Ziyuan Jiang, Abhishek Hariharan Iyer, Rashmi Voleti, Konstantin Krismer, Jellert T. Gaublomme, Marko Jovanovic, Neel H Shah",2025-09-05,https://www.ebi.ac.uk/bioimage-archive/galleries/S-BIAD2267
EMPIAR-11882,High-resolution snapshots of talin auto-inhibitory states,EMPIAR,,,,0,,High-resolution snapshots of the talin auto-inhibitory states suggest roles in cell adhesion and signaling,,"Rangarajan ES, Bois JL, Hansen SB, Izard T",2025-09-05,https://www.ebi.ac.uk/bioimage-archive/galleries/EMPIAR-11882
EMPIAR-12850,Benchmark TEM data of mouse brain previously imaged by Nikon confocal microscopy,EMPIAR,,,,0,,A workflow for semi-automated volume correlative light microscopy and transmission electron tomography,,"Konishi KK, Neves GN, Russell MR, Mimura MM, Burrone JB, Fleck RF",2025-09-05,https://www.ebi.ac.uk/bioimage-archive/galleries/EMPIAR-12850
EMPIAR-12888,Cryo electron micrographs of RyR2-R420Q,EMPIAR,,,,0,,Structural basis for ryanodine receptor type 2 leak in heart failure and arrhythmogenic disorders,,"Miotto MC, Reiken S, Wronska A, Yuan Q, Dridi H, Liu Y, Weninger G, Tchagou C, Marks AR",2025-09-05,https://www.ebi.ac.uk/bioimage-archive/galleries/EMPIAR-12888
EMPIAR-12898,Cryo electron micrographs of RyR2-R420W,EMPIAR,,,,0,,Structural basis for ryanodine receptor type 2 leak in heart failure and arrhythmogenic disorders,,"Miotto MC, Reiken S, Wronska A, Yuan Q, Dridi H, Liu Y, Weninger G, Tchagou C, Marks AR",2025-09-05,https://www.ebi.ac.uk/bioimage-archive/galleries/EMPIAR-12898
EMPIAR-12884,Cryo electron micrographs of RyR2-S2808D in the presence of Rapamycin,EMPIAR,,,,0,,Structural basis for ryanodine receptor type 2 leak in heart failure and arrhythmogenic disorders,,Miotto MC,2025-09-05,https://www.ebi.ac.uk/bioimage-archive/galleries/EMPIAR-12884
EMPIAR-12883,Cryo electron micrographs of RyR2-S2808D in the presence of H2O2/NOC-12/GSH,EMPIAR,,,,0,,Structural basis for ryanodine receptor type 2 leak in heart failure and arrhythmogenic disorders,,Miotto MC,2025-09-05,https://www.ebi.ac.uk/bioimage-archive/galleries/EMPIAR-12883
EMPIAR-12901,Cryo electron micrographs of RyR2-R420W with calcium and calmodulin,EMPIAR,,,,0,,Structural basis for ryanodine receptor type 2 leak in heart failure and arrhythmogenic disorders,,"Miotto MC, Reiken S, Wronska A, Yuan Q, Dridi H, Liu Y, Weninger G, Tchagou C, Marks AR",2025-09-05,https://www.ebi.ac.uk/bioimage-archive/galleries/EMPIAR-12901
EMPIAR-12900,Cryo electron micrographs of RyR2-R420W with ARM210,EMPIAR,,,,0,,Structural basis for ryanodine receptor type 2 leak in heart failure and arrhythmogenic disorders,,"Miotto MC, Reiken S, Wronska A, Yuan Q, Dridi H, Liu Y, Weninger G, Tchagou C, Marks AR",2025-09-05,https://www.ebi.ac.uk/bioimage-archive/galleries/EMPIAR-12900
EMPIAR-12899,Cryo electron micrographs of RyR2-R420W with calcium,EMPIAR,,,,0,,Structural basis for ryanodine receptor type 2 leak in heart failure and arrhythmogenic disorders,,"Miotto MC, Reiken S, Wronska A, Yuan Q, Dridi H, Liu Y, Weninger G, Tchagou C, Marks AR",2025-09-05,https://www.ebi.ac.uk/bioimage-archive/galleries/EMPIAR-12899
EMPIAR-12860,Cryo electron micrographs of RyR2-S2808D,EMPIAR,,,,0,,Structural basis for ryanodine receptor type 2 leak in heart failure and arrhythmogenic disorders,,Miotto MC,2025-09-05,https://www.ebi.ac.uk/bioimage-archive/galleries/EMPIAR-12860
S-BIAD2266,Enhancing the effective resolution of intravital microscopy with digital expansion microscopy,BioImage Archive,Mus musculus (mouse),two-photon laser scanning microscopy,"AI4Life Open Calls, AI4Life, Expansion microscopy, Super-resolution",465,CC BY 4.0,,,"Vera Galinova, Ekin Reyhan, Varun Venkataramani",2025-09-05,https://www.ebi.ac.uk/bioimage-archive/galleries/S-BIAD2266
EMPIAR-12889,Cryo electron micrographs of RyR2-R420Q with ARM210,EMPIAR,,,,0,,Structural basis for ryanodine receptor type 2 leak in heart failure and arrhythmogenic disorders,,"Miotto MC, Reiken S, Wronska A, Yuan Q, Dridi H, Liu Y, Weninger G, Tchagou C, Marks AR",2025-09-04,https://www.ebi.ac.uk/bioimage-archive/galleries/EMPIAR-12889
EMPIAR-12874,Cryo-electron microscopy of the bacterial phytochrome PaBphP in its PrPfr intermediate state,EMPIAR,,,,0,,Chemical mechanism of allosteric and asymmetric dark reversion in a bacterial phytochrome uncovered by cryo-EM,,"Bodizs SA, Fischer AM, Cervenak M, Prodhan S, Maj M, Westenhoff S",2025-09-04,https://www.ebi.ac.uk/bioimage-archive/galleries/EMPIAR-12874
EMPIAR-12226,TadA with ADP,EMPIAR,,,,0,,Bidirectional pilus processing in the Tad pilus system motor CpaF,,"Hohl M, Banks EJ, Manley MP, Le TBK, Low HH",2025-09-04,https://www.ebi.ac.uk/bioimage-archive/galleries/EMPIAR-12226
EMPIAR-11909,Functionalized graphene-oxide grids enable high-resolution cryo-EM structures of the SNF2H-nucleosome complex without crosslinking,EMPIAR,,,,0,,Functionalized graphene-oxide grids enable high-resolution cryo-EM structures of the SNF2h-nucleosome complex without crosslinking,,"Chio US, Palovcak E, Smith AAA, Autzen H, Muñoz EN, Yu Z, Wang F, Agard DA, Armache JP, Narlikar GJ, Cheng Y",2025-09-04,https://www.ebi.ac.uk/bioimage-archive/galleries/EMPIAR-11909
EMPIAR-12200,Structure of the C-terminal protease CtpA-LbcA complex of Pseudomonas aeruginosa,EMPIAR,,,,0,,P. aeruginosa CtpA protease adopts a novel activation mechanism to initiate the proteolytic process,,"Hsu HC, Wang M, Kovach A, Darwin AJ, Li H",2025-09-04,https://www.ebi.ac.uk/bioimage-archive/galleries/EMPIAR-12200
S-BIAD2077,Benchmark light microscopy images matching TEM images,BioImage Archive,Mus musculus (mouse),confocal microscopy,"correlative imaging, confocal microscopy, DIC microscopy, Ultramicrotome camera view",14,CC0,,,,2025-09-04,https://www.ebi.ac.uk/bioimage-archive/galleries/S-BIAD2077
EMPIAR-11881,High-resolution snapshots of talin auto-inhibitory states,EMPIAR,,,,0,,High-resolution snapshots of the talin auto-inhibitory states suggest roles in cell adhesion and signaling,,"Rangarajan ES, Bois JL, Hansen SB, Izard T",2025-09-03,https://www.ebi.ac.uk/bioimage-archive/galleries/EMPIAR-11881
EMPIAR-12948,Cryo-Electron Tomography of hippocampal neuron with Voltage imaging,EMPIAR,,,,0,,Cryo-Electron Tomography of hippocampa neuron with Voltage imaging,,"Jung MJ, Roh S-HR",2025-09-03,https://www.ebi.ac.uk/bioimage-archive/galleries/EMPIAR-12948
EMPIAR-12719,In situ insights into antibody-neutralization of a pre-fusion Junin virus glycoprotein complex,EMPIAR,,,,0,,In situ insights into antibody-mediated neutralization of a pre-fusion Junin virus glycoprotein complex,,"Taylor LJ, Sawaya MR, Westover JB, Wang C, Jimenez F, Muñoz AJ, Whitelegge J, Gowen BB, Helguera GF, Castells-Graells R, Rodriguez JA",2025-09-02,https://www.ebi.ac.uk/bioimage-archive/galleries/EMPIAR-12719
EMPIAR-12710,Intermediate states of ATAD5-RFC incubated with PCNA for 20min,EMPIAR,,,,0,,The human ATAD5 has evolved unique structural elements to function exclusively as a PCNA unloader,,"Wang F, He Q, Yao NY, O'Donnell ME, Li H",2025-09-02,https://www.ebi.ac.uk/bioimage-archive/galleries/EMPIAR-12710
EMPIAR-12718,In situ insights into antibody-neutralization of a pre-fusion Junin virus glycoprotein complex,EMPIAR,,,,0,,In situ insights into antibody-mediated neutralization of a pre-fusion Junin virus glycoprotein complex,,"Taylor LJT, Sawaya MR, Westover JB, Wang C, Jimenez F, Muñoz AJ, Whitelegge J, Gowen BB, Helguera GF, Castells-Graells R, Rodriguez JA",2025-09-02,https://www.ebi.ac.uk/bioimage-archive/galleries/EMPIAR-12718
S-BIAD2257,The origin of septin ring size control in budding yeast,BioImage Archive,Saccharomyces cerevisiae (brewer's yeast),fluorescence microscopy,"Cdc42 polarization, septin ring, cell size, exocytosis, budding yeast",6938,CC0,The origin of septin ring size control in budding yeast,,"Igor Kukhtevich, Sebastian Persson, Francesco Padovani, Robert Schneider, Marija Cvijovic, Kurt M. Schmoller",2025-09-01,https://www.ebi.ac.uk/bioimage-archive/galleries/S-BIAD2257
S-BIAD2252,TFEB/HLH-30-mediated expansion of neuronal lysosomal capacity in early adulthood protects dendrite maintenance during aging in Caenorhabditis elegans,BioImage Archive,Caenorhabditis elegans,confocal microscopy,"C. elegans, HLH-30/TFEB, aging, lysosome, PVD",11227,CC BY 4.0,TFEB/HLH-30-mediated expansion of neuronal lysosomal capacity in early adulthood protects dendrite maintenance during aging in Caenorhabditis elegans,,"Ruiling Zhong, Claire E. Richardson",2025-09-01,https://www.ebi.ac.uk/bioimage-archive/galleries/S-BIAD2252
S-BIAD1699,"Deep single cell RNA sequencing of rare human glioblastoma cases where tissue
could be sampled from tumor core to macroscopically normal cortex.",BioImage Archive,Homo sapiens (human),fluorescence microscopy,"glioblastoma, eel-fish",81,CC0,,,,2025-09-01,https://www.ebi.ac.uk/bioimage-archive/galleries/S-BIAD1699
S-BIAD1700,10Xgenomics Xenium analysis on glioblastoma organoids subject to in vitro perturbations with hypoxia and blood plasma.,BioImage Archive,Homo sapiens (human),fluorescence microscopy,"glioblastoma, wound response",160,CC0,,,,2025-09-01,https://www.ebi.ac.uk/bioimage-archive/galleries/S-BIAD1700
S-BIAD1600,Spatial cell atlas of the human developing meninges and human meningioma,BioImage Archive,Homo sapiens (human),Xenium,"Brain, Tumour, Foetus",180,CC0,,,,2025-09-01,https://www.ebi.ac.uk/bioimage-archive/galleries/S-BIAD1600
S-BIAD1703,Neighborhood Clustering Analysis to Define Epithelial-Stromal Interface for Tumor Infiltrating Lymphocyte Evaluation,BioImage Archive,Homo sapiens (human),fluorescence microscopy,"CD8, TIM3, epithelial-stromal interface, spatial heterogeneity, multiplex immunofluorescence imaging",2,CC0,,,,2025-09-01,https://www.ebi.ac.uk/bioimage-archive/galleries/S-BIAD1703
S-BIAD1501,Photobleaching experiment to investigate the effect of T-025 on the dynamic mobility of SRSF7 in triple-negative breast cancer cells,BioImage Archive,Homo sapiens (human),confocal microscopy,"SRSF7, Photobleaching, confocal microscopy, Protein mobility, CLKs inhibitor",3247,CC0,,,,2025-08-30,https://www.ebi.ac.uk/bioimage-archive/galleries/S-BIAD1501
S-BIAD2244,International Mouse Phenotyping Consortium (IMPC) - X Ray Images,BioImage Archive,,,,1221317,CC BY 4.0,The International Mouse Phenotyping Consortium: comprehensive knockout phenotyping underpinning the study of human disease.,10.1093/nar/gkac972,,2025-08-29,https://www.ebi.ac.uk/bioimage-archive/galleries/S-BIAD2244
S-BIAD2072,Th fibers and dopamine vesicle clustering alterations. ,BioImage Archive,Mus musculus (mouse),confocal microscopy,"LRRK2, Th fiber",336,CC BY 4.0,,,,2025-08-29,https://www.ebi.ac.uk/bioimage-archive/galleries/S-BIAD2072
S-BIAD2255,"Single molecule imaging of transcription dynamics, RNA localization and fate in T cells ",BioImage Archive,Homo sapiens (human),fluorescence microscopy,"Post-transcriptional regulation, smFISH, T cells, cytokine regulation",359,CC0,,,Maria Valeria Lattanzio,2025-08-29,https://www.ebi.ac.uk/bioimage-archive/galleries/S-BIAD2255
S-BIAD2071,LRRK2 disrupts the number and composition of active zone release sites in vulnerable dopamine axons,BioImage Archive,Mus musculus (mouse),microscopy,"LRRK2, bassoon, active zone, intersectional, intersectional",463,CC BY 4.0,,,,2025-08-29,https://www.ebi.ac.uk/bioimage-archive/galleries/S-BIAD2071
EMPIAR-12939,Benchmarking Talos Arctica with K3 and Biocontinuum energy filter,EMPIAR,,,,0,,Benchmarking Talos Arctica with K3 and Biocontinuum energy filter,,Maruthi K,2025-08-29,https://www.ebi.ac.uk/bioimage-archive/galleries/EMPIAR-12939
S-BIAD2074,LRRK2 alters the composition and organization of active zone release sites in dopaminergic striatal synaptosomes,BioImage Archive,Mus musculus (mouse),confocal microscopy,"LRRK2, striatal synaptosome",168,CC BY 4.0,,,,2025-08-29,https://www.ebi.ac.uk/bioimage-archive/galleries/S-BIAD2074
S-BIAD2070,LRRK2 is expressed in dopamine neurons and is enriched in the vulnerable subpopulation.,BioImage Archive,Mus musculus (mouse),confocal microscopy,"LRRK2 , Parkinson’s disease , dopamine neurons",21,CC BY 4.0,,,,2025-08-29,https://www.ebi.ac.uk/bioimage-archive/galleries/S-BIAD2070
S-BIAD2250,Canonical Wnt signaling and the regulation of divergent mesenchymal Fgf8 expression in axolotl limb development and regeneration,BioImage Archive,ambystoma mexicanum,array-scan confocal microscopy,"Axolotl, Fgf8, WNT",126,CC BY 4.0,Canonical Wnt signaling and the regulation of divergent mesenchymal Fgf8 expression in axolotl limb development and regeneration.,10.7554/elife.79762,"Glotzer GL, Tardivo P, Tanaka EM.",2025-08-28,https://www.ebi.ac.uk/bioimage-archive/galleries/S-BIAD2250
EMPIAR-12835,In-situ high-resolution cryo-EM reconstructions from CEMOVIS,EMPIAR,,,,0,,In-situ high-resolution cryo-EM reconstructions from CEMOVIS,,"Elferich J, Kaminek M, Kong L, Odriozola A, Kukulski W, Zuber B, Grigorieff N",2025-08-27,https://www.ebi.ac.uk/bioimage-archive/galleries/EMPIAR-12835
S-BIAD2120,Pre-meiotic H1.1 degradation is essential for Arabidopsis gametogenesis,BioImage Archive,Arabidopsis thaliana (thale cress),confocal microscopy,"Arabidopsis, Spore Mother Cell, H1 Linker Histone",369,CC BY 4.0,,,Baroux Celia,2025-08-25,https://www.ebi.ac.uk/bioimage-archive/galleries/S-BIAD2120
S-BIAD1249,VEL-dependent polymerization maintains the chromatin association of Polycomb proteins for the switch to epigenetic silencing,BioImage Archive,Nicotiana benthamiana,confocal microscopy,"Polycomb silencing, polymerization",27,CC BY 4.0,,,,2025-08-25,https://www.ebi.ac.uk/bioimage-archive/galleries/S-BIAD1249
EMPIAR-12887,Structure of the central Staphylococcus aureus AAA+ protease MecA/ClpC/ClpP,EMPIAR,,,,0,,Structure of the central<i>Staphylococcus aureus</i>AAA+ protease MecA/ClpC/ClpP,,"Azinas S, Wallden K, Katikaridis P, Jenne T, Schahl A, Mogk A, Carroni M",2025-08-22,https://www.ebi.ac.uk/bioimage-archive/galleries/EMPIAR-12887
S-BIAD2238,Ptf1a robustly drives the gliogenic switch in the rodent embryonic cortex in a dosage-dependent manner by activating pro-glial gene expression programs,BioImage Archive,Mus musculus (mouse),confocal microscopy,"Ptf1a, gliogenesis, cell fate, oligodendrocyte",92,CC0,,,Shuijin,2025-08-22,https://www.ebi.ac.uk/bioimage-archive/galleries/S-BIAD2238
S-BIAD2239,"Tau, amyloid-beta and alpha-synuclein co-pathologies enhance neuropathology and neuroinflammation",BioImage Archive,Mus musculus (mouse),bright-field microscopy,"co-pathology, brain, microglia, T cells, amyloid-beta",43,CC BY 4.0,,,Jhodi Webster,2025-08-22,https://www.ebi.ac.uk/bioimage-archive/galleries/S-BIAD2239
S-BIAD1154,In vivo properties of Arabidopsis FCA condensates involved in RNA 3’ processing ,BioImage Archive,Arabidopsis thaliana (thale cress),z-stacks from multiple areas were taken per biological replicate,"biomolecular condensate, RNA processing, FLC, FLC, noncoding RNA",112,CC BY 4.0,,,,2025-08-20,https://www.ebi.ac.uk/bioimage-archive/galleries/S-BIAD1154
S-BIAD2236,Nanog is repurposed after implantation to repress Sox2 and begin pluripotency extinction,BioImage Archive,Mus musculus (mouse),confocal microscopy,"SOX2, NANOG, Embryo, Pluripotency, Postimplantation",5,CC BY 4.0,,,"Freddy Wong, Valerie Wilson, Ian Chambers",2025-08-14,https://www.ebi.ac.uk/bioimage-archive/galleries/S-BIAD2236
S-BIAD2235,Silicon Flavylium Polymethine Dyes for Shortwave Infrared Imaging,BioImage Archive,Mus musculus (mouse),Fluorescence imaging,"silicon, polymethine dye, shortwave infrared, fluorescence imaging",42,CC0,Silicon Flavylium Polymethine Dyes for Shortwave Infrared Imaging,TBD,Quintashia D. Wilson; Emily B. Mobley; Eric Y. Lin; Barry Y. Li; Ash S. Hua; Justin R. Caram; Ellen M. Sletten,2025-08-13,https://www.ebi.ac.uk/bioimage-archive/galleries/S-BIAD2235
EMPIAR-12012,Cryo-EM images of alpha-synuclein fibrils «1B» capable of seeding GCI in vivo,EMPIAR,,,,0,,Multiple System Atrophy: Insights from α-Syn Fibril Structure,,"Burger D, Kashyrina M, Lewis A, De Nuccio F, Mohammed I, de La Seigliere H, van den Heuvel L, Feuillie C, Verchere J, Berbon M, Arotcarena M, Retailleau A, Bezard E, Laferriere F, Loquet A, Bousset L, Baron T, Lofrumento DD, De Giorgi F, Stahlberg H, Ichas F",2025-08-13,https://www.ebi.ac.uk/bioimage-archive/galleries/EMPIAR-12012
EMPIAR-11741,Cryo-EM SPA dataset of Streptococcus pneumoniae NADPH oxidase,EMPIAR,,,,0,,Structural and mechanistic insights into Streptococcus pneumoniae NADPH oxidase,,"Dubach VRA, San Segundo-Acosta P, Murphy BJ",2025-08-13,https://www.ebi.ac.uk/bioimage-archive/galleries/EMPIAR-11741
EMPIAR-12165,Cryo-EM structures of AceCas9,EMPIAR,,,,0,,Coupled catalytic states and the role of metal coordination in Cas9,,"Das A, Rai J, Roth MO, Shu Y, Medina ML, Barakat MR, Li H",2025-08-13,https://www.ebi.ac.uk/bioimage-archive/galleries/EMPIAR-12165
S-BIAD2224,"Spatiotemporal map of the developing human reproductive tract at single-cell resolution
",BioImage Archive,Homo sapiens (human),bright-field microscopy,"Human Reproductive Biology, smFISH, fallopian tubes, uterus, external genitalia",90,CC0,,,"Valentina Lorenzi, Cecilia Icoresi-Mazzeo, Luz Garcia-Alonso, Roser Vento-Tormo",2025-08-11,https://www.ebi.ac.uk/bioimage-archive/galleries/S-BIAD2224
S-BIAD1176,Integrated spatial proteomic analysis of breast cancer heterogeneity unravels mechanisms of cancer cell phenotypic plasticity,BioImage Archive,Homo sapiens (human),light microscopy,"breast cancer, intra tumor heterogeneity , spatial proteomics, tumor microenvironment",1279,CC BY 4.0,,,,2025-08-10,https://www.ebi.ac.uk/bioimage-archive/galleries/S-BIAD1176
S-BIAD2231,"Optical Nanomotion Detection to Rapidly Discriminate between Fungicidal and Fungistatic Effects of Antifungals on Single-Cell Candida albicans
",BioImage Archive,Candida albicans,bright-field microscopy,"cellular nanomotion, single cell, optical nanomotion detection, fungicidal, fungistatic",5,CC0,Optical Nanomotion Detection to Rapidly Discriminate between Fungicidal and Fungistatic Effects of Antifungals on Single-Cell <i>Candida albicans</i>.,10.3390/antibiotics13080712,"Radonicic V, Kalauzi A, Villalba MI, Radotić K, Devreese B, Kasas S, Willaert RG.",2025-08-08,https://www.ebi.ac.uk/bioimage-archive/galleries/S-BIAD2231
S-BIAD2230,Single-Cell Optical Nanomotion of Candida albicans in Microwells for Rapid Antifungal Susceptibility Testing,BioImage Archive,Candida albicans,bright-field microscopy,"cellular nanomotion, single cell, optical nanomotion detection,  microfluidic chip, microwells",24,CC0,Single-Cell Optical Nanomotion of Candida albicans in Microwells for Rapid Antifungal Susceptibility Testing,https://doi.org/10.3390/fermentation9040365,"Vjera Radonicic, Charlotte Yvanoff , Maria Ines Villalba, Bart Devreese, Sandor Kasas, Ronnie G. Willaert ",2025-08-08,https://www.ebi.ac.uk/bioimage-archive/galleries/S-BIAD2230
S-BIAD2229,The Dynamics of Single-Cell Nanomotion Behaviour of Saccharomyces cerevisiae in a Microfluidic Chip for Rapid Antifungal Susceptibility Testing,BioImage Archive,Saccharomyces cerevisiae (brewer's yeast),bright-field microscopy," cellular nanomotion, single cell,  optical nanomotion detection , microfluidic chip, no-flow chamber",5,CC0,The Dynamics of Single-Cell Nanomotion Behaviour of Saccharomyces cerevisiae in a Microfluidic Chip for Rapid Antifungal Susceptibility Testing,https://doi.org/10.3390/fermentation8050195,"Vjera Radonicic, Charlotte Yvanoff, Maria Ines Villalba, Sandor Kasas, Ronnie G. Willaert ",2025-08-08,https://www.ebi.ac.uk/bioimage-archive/galleries/S-BIAD2229
S-BIAD2228,Mitochondrial nanomotion measured by optical microscopy,BioImage Archive,Homo sapiens (human),bright-field microscopy,"optical nanomotion, mitochondria, rotenone, metabolic substrate, short chain fatty acid",159,CC0,Mitochondrial nanomotion measured by optical microscopy.,10.3389/fmicb.2023.1133773,"Parmar P, Villalba MI, Horii Huber AS, Kalauzi A, Bartolić D, Radotić K, Willaert RG, MacFabe DF, Kasas S.",2025-08-08,https://www.ebi.ac.uk/bioimage-archive/galleries/S-BIAD2228
S-BIAD2227,A simplified version of rapid susceptibility testing of bacteria and yeasts using optical nanomotion detection,BioImage Archive,Saccharomyces cerevisiae (brewer's yeast),bright-field microscopy,"antimicrobials, bacteria, nanomotion, optical microscope, yeast",341,CC BY 4.0,A simplified version of rapid susceptibility testing of bacteria and yeasts using optical nanomotion detection.,10.3389/fmicb.2024.1328923,"Villalba MI, Gligorovski V, Rahi SJ, Willaert RG, Kasas S.",2025-08-08,https://www.ebi.ac.uk/bioimage-archive/galleries/S-BIAD2227
S-BIAD2226,Tonoplast organization in the rhizodermis of the Arabidopsis thaliana root tip: effect of root position on the surface vs. inside agar medium.,BioImage Archive,Arabidopsis thaliana (thale cress),spinning disk confocal microscopy,"Arabidopsis thaliana, tonoplast, vacuole, rhizodermis, root tip",42,CC BY 4.0,,,"Radek Bezvoda, Fatima Cvrčková, Helena Kočová, George Alexandru Caldarescu",2025-08-07,https://www.ebi.ac.uk/bioimage-archive/galleries/S-BIAD2226
S-BIAD833,MAGEA antigens as immunotherapeutic targets for advanced osteosarcoma.,BioImage Archive,Homo sapiens (human),imaging mass cytometry,"Osteosarcoma, Imaging Mass Cytometry",6,CC0,,,,2025-08-07,https://www.ebi.ac.uk/bioimage-archive/galleries/S-BIAD833
EMPIAR-12575,Raw data used to generate the structure of coronin-7 bound to the Arp2/3 complex,EMPIAR,,,,0,,Coronin-7 is an Arp2/3 complex debrancher,,"Fregoso FE, Boczkowska M, Rebowski G, Dominguez R, Barrie KR",2025-08-06,https://www.ebi.ac.uk/bioimage-archive/galleries/EMPIAR-12575
S-BIAD2225,The effect of image acquisition settings and image processing on fluorescence microscopy data and downstream analysis,BioImage Archive,Schizosaccharomyces pombe (fission yeast),spinning disk confocal microscopy,"S. pombe, image quality, denoising, segmentation, spheroid",105744,CC BY 4.0,,,"Siân Culley, Ihuan Gunawan, Susan Cox, John G Lock, Erik Meijering, Richard J Marsh, Nandini Aggarwal",2025-08-05,https://www.ebi.ac.uk/bioimage-archive/galleries/S-BIAD2225
S-BIAD1217,SlimVar imaging and single molecule tracking analysis ,BioImage Archive,Arabidopsis thaliana (thale cress),SlimVar,"single molecule tracking, nuclear speckles, epigenetics, flowering, vernalization",9224,CC BY 4.0,SlimVar: rapid in vivo single-molecule tracking of chromatin regulators in plants,https://doi.org/10.1101/2024.05.17.594710,"Alex L. Payne-Dwyer, Geng-Jen Jang, Caroline Dean, Mark C. Leake",2025-08-05,https://www.ebi.ac.uk/bioimage-archive/galleries/S-BIAD1217
EMPIAR-12519,Cryo electron micrographs of glomalin (a group I chaperonin) from Rhizophagus irregularis BGC BJ09,EMPIAR,,,,0,,Soil aggregates stability is evidently enhanced by super-binding of the N-terminal disordered tail of glomalin to soil minerals,,"Jia M, Wang Y, He J, Chou SH, Luo D, Fang L, Hou J, Fan Y, Zhang W, Chen H, Zhou D, Liu Y, Feng Y, Koopal L, Tan W",2025-08-05,https://www.ebi.ac.uk/bioimage-archive/galleries/EMPIAR-12519
