Accession,Title,Collection,Organism,Imaging Method,Keywords,Files,License,Publication Title,Publication DOI,Authors,Release Date,BIA Link
EMPIAR-13288,cryo electron tomography of mouse hippocampal CA1 stratum radiatum - dataset 4,EMPIAR,,,,0,,A generalizable and targeted molecular biopsy approach for in situ cryogenic electron tomography of vitreous brain tissue,,"Glynn C, Smith JLR, Case M, Csöndör R, Katsini A, Sanita ME, Glen TS, Pennington A, Grange M",2026-03-12,https://www.ebi.ac.uk/bioimage-archive/galleries/EMPIAR-13288
EMPIAR-13301,cryo electron tomography of mouse hippocampal CA1 stratum radiatum - dataset 5,EMPIAR,,,,0,,A generalizable and targeted molecular biopsy approach for in situ cryogenic electron tomography of vitreous brain tissue,,"Glynn C, Smith JLR, Case M, Csöndör R, Katsini A, Sanita ME, Glen TS, Pennington A, Grange M",2026-03-12,https://www.ebi.ac.uk/bioimage-archive/galleries/EMPIAR-13301
EMPIAR-13302,cryo electron tomography of mouse hippocampal CA1 stratum radiatum - dataset 6,EMPIAR,,,,0,,A generalizable and targeted molecular biopsy approach for in situ cryogenic electron tomography of vitreous brain tissue,,"Glynn C, Smith JLR, Case M, Csöndör R, Katsini A, Sanita ME, Glen TS, Pennington A, Grange M",2026-03-12,https://www.ebi.ac.uk/bioimage-archive/galleries/EMPIAR-13302
EMPIAR-13304,cryo electron tomography of mouse cortex,EMPIAR,,,,0,,A generalizable and targeted molecular biopsy approach for in situ cryogenic electron tomography of vitreous brain tissue,,"Glynn C, Smith JLR, Case M, Csöndör R, Katsini A, Sanita ME, Glen TS, Pennington A, Grange M",2026-03-12,https://www.ebi.ac.uk/bioimage-archive/galleries/EMPIAR-13304
EMPIAR-13303,cryo electron tomography of mouse hippocampal CA1-py dataset,EMPIAR,,,,0,,A generalizable and targeted molecular biopsy approach for in situ cryogenic electron tomography of vitreous brain tissue,,"Glynn C, Smith JLR, Case M, Csöndör R, Katsini A, Sanita ME, Glen TS, Pennington A, Grange M",2026-03-12,https://www.ebi.ac.uk/bioimage-archive/galleries/EMPIAR-13303
EMPIAR-13314,cryo electron tomography of a planar lift-out from mouse hippocampus CA1 spanning CA1-py through CA1-slm.,EMPIAR,,,,0,,A generalizable and targeted molecular biopsy approach for in situ cryogenic electron tomography of vitreous brain tissue,,"Glynn C, Smith JLR, Case M, Csöndör R, Katsini A, Sanita ME, Glen TS, Pennington A, Grange M",2026-03-12,https://www.ebi.ac.uk/bioimage-archive/galleries/EMPIAR-13314
EMPIAR-12775,Single particle dataset of respiratory complex I from Paracoccus dentrificans in cMSP26 nanodiscs,EMPIAR,,,,0,,Oversized nanodiscs for combined structural and functional investigation of multicomponent membrane protein systems,,"Ivanov BS, Hirst J",2026-03-12,https://www.ebi.ac.uk/bioimage-archive/galleries/EMPIAR-12775
S-BIAD3018,VPS26A Retromer Complex and SNX27 Mediate Stress-Induced Golgi Bypass of Membrane Proteins,BioImage Archive,Homo sapiens (human),confocal microscopy,"unconventional protein secretion, Golgi-bypass, CFTR, retromer, VPS26A",160,CC BY 4.0,,,"Chaeyoung Lee, Ye Jin Kim, Soo Kyung Seo, Jae Won Roh, Hye Ryung Lee, Su Jin Hwang, Nienping Chang, Hee Seong Choi, Dong Hoon Shin, Hui Kwon Kim",2026-03-11,https://www.ebi.ac.uk/bioimage-archive/galleries/S-BIAD3018
EMPIAR-13327,Single-particle cryo-electron microscopy analysis of a viral hyaluronan synthase bound to UDP-GlcA,EMPIAR,,,,0,,Insights into substrate binding and utilization by hyaluronan synthase,,"Stephens Z, Karasinska J, Zimmer J",2026-03-11,https://www.ebi.ac.uk/bioimage-archive/galleries/EMPIAR-13327
EMPIAR-13325,Single-particle cryo-electron microscopy analysis of a viral hyaluronan synthase bound to DDM,EMPIAR,,,,0,,Insights into substrate binding and utilization by hyaluronan synthase,,"Stephens ZS, Karasinska J, Zimmer J",2026-03-11,https://www.ebi.ac.uk/bioimage-archive/galleries/EMPIAR-13325
